Year,Country,Air Pollutant,Population,Populated Area [km2],Air Pollution Average [ug/m3],Premature Deaths,Years Of Life Lost
2018,Poland,PM10,37976476,196199,24.6ug/m,,
2018,Poland,PM2.5,37976476,196199,17.7,46792.0,583534.0
2018,Slovenia,PM10,2066847,13251,17.8,,
2018,Slovenia,PM2.5,2066847,13251,13.1,1495.0,17067.0
2019,Slovenia,NO2,2080877,13251,7.9,188.0,2082.0
2019,Slovenia,O3,2080877,13251,6729.3,126.0,1491.0
2019,Slovenia,PM10,2080877,13251,14.9,,
2019,Slovenia,PM2.5,2080877,13251 km,10.9,1147.0,12957.0
2018,Slovakia,NO2,5443100,15868,9.4,500.0,6175.0
2018,Slovakia,O3,5443100,15868,7110.0,363.0,4781.0
2018,Slovakia,PM10,5443100,15868,22.3,,
2018,Slovakia,PM2.5,5443100,15868,16.4,4857.0,60053.0
2019,Slovakia,NO2,5450395,15868,8.6,371.0,4741.0
2019,Slovakia,O3,5450395,15868,5561.9,280.0,3766.0
2019,Slovakia,PM10,5450395,15868 km,18.1,,
2019,Slovakia,PM2.5,5450395,15868,12.6,3462.0,44080.0
2019,Bulgaria,O3,6999961,23519,5954.5,424.0,4858.0
2019,Spain,O3,44788442,60511,6305.1,2595.0,30114.0
2019,Estonia,PM2.5,1324805,20389,4.4,79.0,941.0
2019,Bulgaria,PM2.5,6999961,23519,11.8,9906.0,106663.0
2019,Czechia,PM2.5,10649759,44196,11.5,6941.0,77681.0
2019,Spain,PM2.5,44788442,60511,7.3,14734.0,165485.0
2019,Denmark,O3,5806051,37704,3470.4,209.0,2393.0
2019,Ireland,NO2,4904219,55482,3.7,168.0,2043.0
2019,Denmark,PM2.5,5806051,37704,8.2,1719.0,18735.0
2019,Lithuania,NO2,2794155,35587,4.8,171.0,2012.0
2018,Poland,PM10,37976476,196199,24.6,,
2019,Czechia,PM2.5,10649759,44196,11.5,6941.0,77681.0
2019,austria,PM2.5,8858695,43050,9.1,3685.0,38017.0
2018,Bulgaria,O3,7049950,23519,6089.9,467.0,5239.0
2019,Hungary,O3,9772693,27758,5347.2,648.0,7660.0
2019,Slovenia,NO2,2080877,13251,7.9,188.0,2082.0
2019,Cyprus,PM2.5,1213178,6504,13.7,582.0,6161.0
2018,Netherlands,NO2,17180968,30299,14.1,2929.0,31231.0
2019,Slovakia,PM2.5,5450395,15868,12.6,3462.0,44080.0
2018,European Union Countries,PM10,441769203,1793090,16.2,,
